"Element","h_index","g_index","m_index","TC","NP","PY_start"
"KUO L-C","1","1","0.500","1","1","2023"
"KUO P-L","1","1","0.250","3","1","2021"
"KUO Y-T","1","1","0.500","1","1","2023"
"KURATA J","1","1","0.100","1","1","2015"
"KURDI MS","1","1","0.500","1","1","2023"
"KURIHARA K","1","1","0.250","22","1","2021"
"KUSUNOSE K","1","1","0.250","33","1","2021"
"KUSZA K","1","1","0.500","1","1","2023"
"KVARNER E-N","1","1","0.250","4","1","2021"
"KWACK W-G","1","1","0.250","6","1","2021"
"KWAK YH","1","1","0.333","1","1","2022"
"KWON J-M","1","1","0.333","5","1","2022"
"KWON O","1","1","0.333","12","1","2022"
"KWON YS","1","2","0.250","12","2","2021"
"KWONG MT","1","1","0.167","35","1","2019"
"KYNES JM","1","1","0.250","5","1","2021"
"KYO M","1","1","0.250","20","1","2021"
"KÖSE HC","1","1","0.500","2","1","2023"
"KÜHNE T","1","1","0.200","57","1","2020"
"LA MARCA M","1","1","0.143","62","1","2018"
"LA PORTA F","1","1","0.500","1","1","2023"
"LABORDA T","1","1","0.250","5","1","2021"
"LABOTT JR","1","3","0.333","9","3","2022"
"LABOURDETTE C","1","1","0.250","3","1","2021"
"LACHANIETTE CHF","1","1","0.500","3","1","2023"
"LADABAUM U","1","1","0.333","7","1","2022"
"LADEFOGED CN","1","1","0.167","68","1","2019"
"LADYMON AD","1","1","0.333","7","1","2022"
"LAFERRIÈRE-LANGLOIS P","1","1","0.500","4","1","2023"
"LAFFERTY F","1","1","0.250","3","1","2021"
"LAHERA G","1","1","0.250","6","1","2021"
"LAHRICHI N","1","1","0.500","4","1","2023"
"LAI F","1","2","0.333","6","2","2022"
"LAI UH","1","1","0.500","2","1","2023"
"LAI Y-C","1","1","0.500","1","1","2023"
"LAI Y-L","1","1","0.333","14","1","2022"
"LAINE M","1","1","0.333","13","1","2022"
"LAINO ME","1","1","0.500","2","1","2023"
"LAJNEF T","1","1","0.143","18","1","2018"
"LAKSHMANAN SSK","1","1","0.250","5","1","2021"
"LALL AC","1","1","0.333","2","1","2022"
"LALWANI D","1","1","0.333","12","1","2022"
"LAM AD","1","1","0.167","12","1","2019"
"LAM HK","1","1","0.167","4","1","2019"
"LAM K-M","1","1","0.333","7","1","2022"
"LAM K-Y","1","1","0.500","1","1","2023"
"LAM S","1","1","0.250","9","1","2021"
"LAM SS","1","1","0.500","2","1","2023"
"LAMAZIÈRE A","1","1","0.500","2","1","2023"
"LAMBECK J","1","1","0.111","21","1","2016"
"LAMBERTI F","1","1","0.250","1","1","2021"
"LAMBERTI JP","1","1","0.200","10","1","2020"
"LAMBERTINI C","1","1","0.200","1","1","2020"
"LAMER TJ","1","1","0.333","6","1","2022"
"LAMPE BP","1","1","0.083","13","1","2013"
"LAN L","1","1","0.500","3","1","2023"
"LANDSNESS EC","1","1","0.333","18","1","2022"
"LANE ND","1","1","0.250","5","1","2021"
"LANE P","1","1","0.250","9","1","2021"
"LANG JA","1","1","0.200","20","1","2020"
"LANG VA","1","1","0.250","9","1","2021"
"LANGARIZADE M","1","1","0.333","1","1","2022"
"LANGE J","1","1","0.250","2","1","2021"
"LANGER EJ","1","1","0.500","3","1","2023"
"LANKIN VZ","1","1","0.091","45","1","2014"
"LANTERI-MINET M","1","1","0.333","13","1","2022"
"LANZA M","1","1","0.250","3","1","2021"
"LAPINLAMPI N","1","1","0.167","5","1","2019"
"LAPLACA MC","1","1","0.333","5","1","2022"
"LAPP L","1","1","0.500","3","1","2023"
"LARISA F","1","1","0.333","11","1","2022"
"LARKIN HD","1","1","0.333","4","1","2022"
"LARRANAGA I","1","1","0.200","13","1","2020"
"LARUE A","1","1","0.333","14","1","2022"
"LASCELLES BDX","1","1","0.333","36","1","2022"
"LASKO TA","1","2","0.143","18","2","2018"
"LATHOUWERS D","1","1","0.333","11","1","2022"
"LATIF RK","1","1","0.250","16","1","2021"
"LATINA R","1","1","0.143","4","1","2018"
"LATTANZI S","1","1","0.333","1","1","2022"
"LAUD P","1","1","0.250","4","1","2021"
"LAUFS H","1","1","0.250","30","1","2021"
"LAURENT S","1","1","0.100","10","1","2015"
"LAUTENBACHER S","1","1","0.250","38","1","2021"
"LAVALLE C","1","1","0.250","13","1","2021"
"LAVERY L","1","1","0.083","7","1","2013"
"LAW I","1","1","0.167","68","1","2019"
"LAWLER SM","1","1","0.167","26","1","2019"
"LAZOUNI MEA","1","1","0.111","20","1","2016"
"LE COCQ C","1","1","0.500","1","1","2023"
"LE DANG N","1","1","0.250","21","1","2021"
"LE GOFF C","1","1","0.091","27","1","2014"
"LEATHER NWF","1","1","0.100","24","1","2015"
"LEBET RM","1","1","0.143","15","1","2018"
"LECAMWASAM K","1","1","0.250","9","1","2021"
"LECONTE V","1","1","0.500","1","2","2023"
"LEDDA M","1","1","0.167","7","1","2019"
"LEDEBOER M","1","1","0.250","32","1","2021"
"LEDOUX D","1","1","0.091","27","1","2014"
"LEE A","1","1","0.500","1","1","2023"
"LEE AMD","1","1","0.250","9","1","2021"
"LEE C-H","1","1","0.500","1","1","2023"
"LEE CK","1","1","0.250","30","1","2021"
"LEE D-J","1","1","0.500","1","1","2023"
"LEE DE","1","1","0.250","8","1","2021"
"LEE EK","1","1","0.143","5","1","2018"
"LEE GH","1","1","0.250","10","1","2021"
"LEE H-J","1","1","0.500","2","1","2023"
"LEE HN","1","1","0.333","1","1","2022"
"LEE I-S","1","1","0.333","6","1","2022"
"LEE J-H","1","1","0.250","6","1","2021"
"LEE J-K","1","1","0.167","10","1","2019"
"LEE J-M","1","1","0.333","18","1","2022"
"LEE JH","1","2","0.250","10","2","2021"
"LEE JJ","1","1","0.250","11","1","2021"
"LEE JK","1","1","0.333","7","1","2022"
"LEE JM","1","1","0.250","8","1","2021"
"LEE JW","1","1","0.500","47","1","2023"
"LEE M-H","1","1","0.333","6","1","2022"
"LEE MC","1","1","0.333","27","1","2022"
"LEE MK","1","1","0.333","10","1","2022"
"LEE MS","1","1","0.200","11","1","2020"
"LEE S-I","1","1","0.143","940","1","2018"
"LEE SH","1","1","0.333","2","1","2022"
"LEE SJ","1","1","0.167","14","1","2019"
"LEE SW","1","1","0.333","12","1","2022"
"LEE Y","1","2","0.333","7","2","2022"
"LEE Y-J","1","1","0.250","6","1","2021"
"LEE YS","1","2","0.333","28","2","2022"
"LEGARRETA-OLABARRIETA MJ","1","1","0.500","1","1","2023"
"LEGUEN M","1","1","0.111","17","1","2016"
"LEHMANN V","1","1","0.125","8","1","2017"
"LEI L","1","1","0.333","1","1","2022"
"LEI P","1","2","0.200","8","2","2020"
"LEI S","1","1","0.333","7","1","2022"
"LEI W","1","1","0.333","1","1","2022"
"LEI Y","1","1","0.333","1","1","2022"
"LEIDINGER A","1","1","0.500","1","1","2023"
"LEJON D","1","1","0.500","1","1","2023"
"LELEVE A","1","1","0.250","2","1","2021"
"LEMAY M","1","1","0.500","3","1","2023"
"LEMMERS N","1","1","0.200","238","1","2020"
"LENA E","1","1","0.167","30","1","2019"
"LENG Y","1","1","0.250","10","1","2021"
"LENKEI Z","1","1","0.200","20","1","2020"
"LENNON SJ","1","1","0.333","1","1","2022"
"LESHNOWER B","1","1","0.500","1","1","2023"
"LESSING NL","1","1","0.500","1","1","2023"
"LESSOWAY VA","1","1","0.100","20","1","2015"
"LETZKUS P","1","1","0.333","5","1","2022"
"LEUNG JM","1","1","0.333","25","1","2022"
"LEUTHARDT EC","1","1","0.125","45","1","2017"
"LEVANS A","1","1","0.200","2","1","2020"
"LEVER J","1","1","0.250","5","1","2021"
"LEVETT DZH","1","1","0.333","2","1","2022"
"LEVIN MA","1","1","0.100","26","1","2015"
"LEVINE WN","1","1","0.500","5","1","2023"
"LEVY BA","1","1","0.333","14","1","2022"
"LEVY R","1","1","0.500","2","1","2023"
"LEWANDROWSKI K-U","1","1","0.500","2","1","2023"
"LEWEJOHANN L","1","1","0.200","35","1","2020"
"LEWIS D","1","1","0.500","1","1","2023"
"LEWIS O","1","1","0.500","4","1","2023"
"LI A","1","1","0.500","1","1","2023"
"LI BL","1","1","0.333","6","1","2022"
"LI C","1","1","0.500","4","1","2023"
"LI CX","1","1","0.250","7","1","2021"
"LI D-L","1","1","0.333","8","1","2022"
"LI DR","1","1","0.333","5","1","2022"
"LI F","1","2","0.250","14","2","2021"
"LI G-D","1","1","0.333","8","1","2022"
"LI G-H","1","1","0.333","5","1","2022"
"LI H","1","4","0.250","18","8","2021"
"LI H-X","1","1","0.111","13","1","2016"
"LI HP","1","1","0.250","7","1","2021"
"LI J-L","1","1","0.500","1","1","2023"
"LI N","1","1","0.250","7","1","2021"
"LI QS","1","1","0.083","75","1","2013"
"LI QY","1","1","0.250","7","1","2021"
"LI R-C","1","1","0.250","6","1","2021"
"LI W","1","1","0.250","12","1","2021"
"LI W-F","1","1","0.091","8","1","2014"
"LI X-F","1","1","0.250","6","1","2021"
"LI X-X","1","1","0.200","8","1","2020"
"LI Y-J","1","1","0.500","1","1","2023"
"LI Y-L","1","1","0.500","12","1","2023"
"LI Y-M","1","1","0.091","8","1","2014"
"LI Z-M","1","1","0.500","2","1","2023"
"LI ZR","1","1","0.200","3","1","2020"
"LIAMPAS A","1","1","0.250","23","1","2021"
"LIAN LL","1","1","0.083","4","1","2013"
"LIANG H","1","1","0.333","3","3","2022"
"LIANG H-P","1","1","0.500","1","1","2023"
"LIANG K","1","1","0.250","5","1","2021"
"LIANG S-J","1","1","0.200","70","1","2020"
"LIANG Y","1","1","0.333","11","1","2022"
"LIAO H","1","1","0.500","1","1","2023"
"LIAO M","1","1","0.125","22","1","2017"
"LIAO Y","1","1","0.333","8","1","2022"
"LIBERMAN JS","1","1","0.500","3","1","2023"
"LICARI L","1","1","0.167","11","1","2019"
"LICHTENSTEIN DR","1","1","0.333","38","1","2022"
"LIEBERMAN D","1","1","0.333","7","1","2022"
"LIEBESKIND D","1","1","0.083","25","1","2013"
"LIEM VGB","1","1","0.143","12","1","2018"
"LIM G","1","1","0.333","2","1","2022"
"LIM HK","1","1","0.083","25","1","2013"
"LIM KT","1","1","0.500","2","1","2023"
"LIM SY","1","1","0.250","11","1","2021"
"LIM TW","1","1","0.333","2","1","2022"
"LIM YH","1","1","0.250","8","1","2021"
"LIM YJ","1","1","0.200","11","1","2020"
"LIMBRICK DD","1","1","0.125","45","1","2017"
"LIMEUX P","1","1","0.333","13","1","2022"
"LIMPIAS KAMIYA KJL","1","1","0.250","19","1","2021"
"LIN A","1","1","0.333","7","1","2022"
"LIN H-Y","1","1","0.333","1","1","2022"
"LIN J","1","2","0.125","22","2","2017"
"LIN J-F","1","1","0.500","1","1","2023"
"LIN L","1","1","0.167","45","1","2019"
"LIN LA","1","1","0.333","14","1","2022"
"LIN M-Y","1","1","0.200","70","1","2020"
"LIN N-J","1","1","0.500","1","1","2023"
"LIN Q","1","1","0.250","12","1","2021"
"LIN S-Y","1","1","0.500","7","1","2023"
"LIN T-C","1","1","0.250","9","1","2021"
"LIN T-Y","1","2","0.333","6","2","2022"
"LIN W","1","1","0.250","1","2","2021"
"LIN W-C","1","1","0.500","1","1","2023"
"LIN Y-K","1","1","0.333","5","1","2022"
"LIN YN","1","1","0.250","7","1","2021"
"LINDHOLZ M","1","1","0.333","3","1","2022"
"LING H","1","1","0.500","2","1","2023"
"LINGANNA RE","1","1","0.333","1","1","2022"
"LINGAPPAN A","1","1","0.111","2","1","2016"
"LINGAPPAN AM","1","1","0.125","29","1","2017"
"LINGURARU MG","1","1","0.167","35","1","2019"
"LINK CD","1","1","0.333","5","1","2022"
"LINOSSIER M-T","1","1","0.333","1","1","2022"
"LIP GYH","1","1","0.333","2","1","2022"
"LIPINSKI DM","1","1","0.250","6","1","2021"
"LISKOVA A","1","1","0.250","68","1","2021"
"LISTON DE","1","1","0.143","940","1","2018"
"LITTLE J","1","1","0.333","38","1","2022"
"LITUIEV D","1","1","0.333","7","1","2022"
"LIU C-Z","1","1","0.500","1","1","2023"
"LIU D","1","1","0.500","2","1","2023"
"LIU JN","1","1","0.167","54","1","2019"
"LIU K","1","1","0.333","3","2","2022"
"LIU M","1","1","0.333","7","1","2022"
"LIU MM","1","1","0.250","5","1","2021"
"LIU MR G","1","1","0.333","7","1","2022"
"LIU R","1","1","0.500","2","1","2023"
"LIU R-H","1","1","0.200","8","1","2020"
"LIU S","1","2","0.091","5","3","2014"
"LIU T","1","1","0.500","1","1","2023"
"LIU T-F","1","1","0.250","17","1","2021"
"LIU W","1","1","0.250","2","1","2021"
"LIU Y-X","1","1","0.091","9","1","2014"
"LIU Z-L","1","1","0.500","12","1","2023"
"LIUZZI L","1","1","0.250","13","1","2021"
"LLANES GONZÁLEZ L","1","1","0.500","10","1","2023"
"LLOYD J","1","1","0.500","4","1","2023"
"LOBO C","1","1","0.500","16","1","2023"
"LOER SA","1","1","0.143","14","1","2018"
"LOEW B","1","1","0.333","38","1","2022"
"LOFTUS TJ","1","1","0.250","5","1","2021"
"LOGERFO JP","1","1","0.100","7","1","2015"
"LOHS T","1","1","0.333","1","1","2022"
"LOMBARDO G","1","1","0.333","14","1","2022"
"LONDON MJ","1","1","0.250","4","1","2021"
"LONG DR","1","2","0.333","7","2","2022"
"LONG Z-H","1","1","0.250","1","1","2021"
"LONGHINI F","1","1","0.125","39","1","2017"
"LONGO A","1","1","0.333","19","1","2022"
"LOOFT C","1","1","0.091","4","1","2014"
"LOOSLI F","1","1","0.500","7","1","2023"
"LOPES D","1","2","0.200","4","2","2020"
"LOPES-FERNANDES B","1","1","0.333","1","1","2022"
"LOPEZ C","1","1","0.100","10","1","2015"
"LOPEZ CD","1","1","0.500","5","1","2023"
"LOPEZ R","1","1","0.091","49","1","2014"
"LORGEOUX B","1","1","0.250","10","1","2021"
"LORIO MP","1","1","0.500","2","1","2023"
"LOTSIKAS P","1","1","0.333","36","1","2022"
"LOTTERIE JA","1","1","0.200","15","1","2020"
"LOTTI J","1","1","0.125","2","1","2017"
"LOTTI T","1","1","0.125","2","1","2017"
"LOU Z","1","1","0.333","2","1","2022"
"LOUIS P-Y","1","1","0.250","10","1","2021"
"LOUNSBURY A","1","1","0.333","38","1","2022"
"LOUSADA E","1","1","0.250","5","1","2021"
"LOW DK-W","1","1","0.143","940","1","2018"
"LOWERY M","1","1","0.250","11","1","2021"
"LOY L","1","1","0.200","2","1","2020"
"LOZEV I","1","1","0.125","2","1","2017"
"LOZOVOSKIY S","1","1","0.250","21","1","2021"
"LU B","1","1","0.200","8","1","2020"
"LU C","1","2","0.250","97","2","2021"
"LU C-S","1","1","0.500","1","1","2023"
"LU C-W","1","1","0.333","5","1","2022"
"LU J-F","1","1","0.083","22","1","2013"
"LU K-Z","1","1","0.500","1","1","2023"
"LU L","1","1","0.333","3","1","2022"
"LU Z-M","1","1","0.143","12","1","2018"
"LUCANGELO U","1","1","0.167","30","1","2019"
"LUCCHETTI A","1","1","0.500","1","1","2023"
"LUCKSCHEITER A","1","1","0.333","1","1","2022"
"LUDWIG C","1","1","0.091","25","1","2014"
"LUEDI MM","1","1","0.167","22","1","2019"
"LUEDTKE K","1","1","0.250","14","1","2021"
"LUIJTELAAR GV","1","1","0.333","2","1","2022"
"LULLINI G","1","1","0.500","1","1","2023"
"LUNDBERG SM","1","1","0.143","940","1","2018"
"LUNDH T","1","1","0.250","9","1","2021"
"LUO J","1","2","0.333","4","2","2022"
"LUO S-D","1","1","0.500","1","1","2023"
"LUO T","1","1","0.250","32","1","2021"
"LUO X","1","1","0.500","1","1","2023"
"LUO YW","1","1","0.200","3","1","2020"
"LV Z","1","1","0.200","19","1","2020"
"LYALL J","1","1","0.333","1","1","2022"
"LYDIC R","1","1","0.200","16","1","2020"
"LYMAN M","1","1","0.250","3","2","2021"
"LYNCH C","1","1","0.200","2","1","2020"
"LYNCH TS","1","1","0.500","5","1","2023"
"LÉONARD M","1","1","0.500","1","1","2023"
"LÓPEZ-AGUILAR J","1","1","0.167","30","1","2019"
"LÓPEZ-BÉJAR M","1","1","0.200","9","1","2020"
"LÓPEZ-PÉREZ AE","1","1","0.125","3","1","2017"
"LÖCHEL J","1","1","0.250","7","1","2021"
"LØBERG M","1","1","0.500","2","1","2023"
"LÜTTJOHANN A","1","1","0.333","2","1","2022"
"MA C","1","1","0.250","21","1","2021"
"MA J","1","1","0.250","10","1","2021"
"MA L","1","1","0.143","12","1","2018"
"MA N","1","1","0.333","3","2","2022"
"MA P","1","1","0.250","27","1","2021"
"MA W","1","1","0.143","5","1","2018"
"MA X","1","1","0.250","7","1","2021"
"MA Y","1","2","0.333","4","3","2022"
"MA Z-T","1","1","0.200","8","1","2020"
"MAALOUF M","1","1","0.333","1","1","2022"
"MAASKANT JM","1","1","0.250","21","1","2021"
"MACCHIA G","1","1","0.333","5","1","2022"
"MACE B","1","1","0.200","2","1","2020"
"MACHADO AP","1","1","0.333","11","1","2022"
"MACHADO MAAM","1","1","0.250","27","1","2021"
"MACIAS AA","1","1","0.500","5","1","2023"
"MACIĄG TT","1","1","0.333","5","1","2022"
"MACKENZIE ROSS R","1","1","0.333","4","1","2022"
"MACLEHOSE RF","1","1","0.200","12","1","2020"
"MADHAVAN S","1","1","0.500","3","1","2023"
"MADRIGAL-VALVERDE M","1","1","0.250","5","1","2021"
"MADSEN CM","1","1","0.250","53","1","2021"
"MAEDA Y","1","1","0.500","7","1","2023"
"MAFF R","1","1","0.333","4","1","2022"
"MAGGARD BD","1","1","0.250","16","1","2021"
"MAGRANS R","1","1","0.167","30","1","2019"
"MAGUIRE P","1","1","0.200","116","1","2020"
"MAHAJAN R","1","1","0.500","1","1","2023"
"MAHAMID A","1","1","0.500","3","1","2023"
"MAHAR K","1","1","0.125","15","1","2017"
"MAHDID Y","1","1","0.250","13","1","2021"
"MAHMOOD F","1","1","0.200","99","1","2020"
"MAHMOUD ABDEL-MAGIED E","1","1","0.125","15","1","2017"
"MAHMOUDI S","1","1","0.111","20","1","2016"
"MAHNKE M","1","1","0.250","8","1","2021"
"MAHUL P","1","1","0.083","2","1","2013"
"MAILE MD","1","1","0.200","18","1","2020"
"MAINGUY B","1","1","0.111","31","1","2016"
"MAINTA I","1","1","0.500","1","1","2023"
"MAJEED A","1","1","0.143","2","2","2018"
"MAKAREMI S","1","1","0.143","1","1","2018"
"MAKAROVA A","1","1","0.333","4","1","2022"
"MAKNUNA L","1","1","0.333","6","1","2022"
"MAKRIS P","1","1","0.111","32","1","2016"
"MAKSIMENKO V","1","1","0.333","2","1","2022"
"MALAGURSKI B","1","1","0.200","15","1","2020"
"MALAHIAS M-A","1","1","0.250","17","1","2021"
"MALAN M","1","1","0.167","13","1","2019"
"MALAYA E","1","1","0.091","1","1","2014"
"MALDONADO DR","1","1","0.333","2","1","2022"
"MALECKA-TENDERA E","1","1","0.143","6","1","2018"
"MALEK M","1","1","0.200","22","1","2020"
"MALEKI F","1","1","0.333","7","1","2022"
"MALIMBAN J","1","1","0.333","11","1","2022"
"MALIN BA","1","1","0.250","3","1","2021"
"MALINARIC R","1","1","0.500","1","1","2023"
"MALINOWSKI M","1","1","0.333","6","1","2022"
"MALLORY MD","1","1","0.125","36","1","2017"
"MALLOW PJ","1","1","0.250","2","1","2021"
"MALORGIO A","1","1","0.500","1","1","2023"
"MAMAD O","1","1","0.250","11","1","2021"
"MANCINI L","1","1","0.500","1","1","2023"
"MANDAL S","1","1","0.333","6","1","2022"
"MANGAT HS","1","1","0.500","1","1","2023"
"MANNION J","1","1","0.333","1","1","2022"
"MANOLE F","1","1","0.333","9","1","2022"
"MANSOOR BAIG M","1","1","0.083","8","1","2013"
"MANTEUFFEL J","1","1","0.250","1","1","2021"
"MANTHOURI M","1","1","0.500","2","1","2023"
"MANTICA G","1","1","0.500","1","1","2023"
"MANTILLA E","1","1","0.167","35","1","2019"
"MANUSAMA ER","1","1","0.250","32","1","2021"
"MAO Q","1","1","0.250","5","1","2021"
"MAO S","1","1","0.333","19","1","2022"
"MAO X","1","1","0.333","4","1","2022"
"MAO Y","1","1","0.083","22","1","2013"
"MAOZ U","1","1","0.167","50","1","2019"
"MAR J","1","1","0.200","13","1","2020"
"MARALCAN G","1","1","0.333","8","1","2022"
"MARCELLIN-LITTL D","1","1","0.333","36","1","2022"
"MARCELLINE F","1","1","0.143","22","1","2018"
"MARCELLO D","1","1","0.111","4","1","2016"
"MARCHAND GH","1","1","0.250","4","1","2021"
"MARCHESE P","1","1","0.250","13","1","2021"
"MARCHI G","1","1","0.500","1","1","2023"
"MARCHI N","1","1","0.250","7","1","2021"
"MARCUZZI A","1","1","0.250","4","1","2021"
"MAREE SC","1","1","0.500","2","1","2023"
"MARESCAUX J","1","2","0.250","5","2","2021"
"MARIANI R","1","1","0.500","2","1","2023"
"MARIANO F","1","1","0.500","1","1","2023"
"MARIJNEN CAM","1","1","0.250","32","1","2021"
"MARINAZZO D","1","1","0.200","4","1","2020"
"MARINEC N","1","2","0.111","18","2","2016"
"MARINI M","1","1","0.250","19","1","2021"
"MARKA NA","1","1","0.333","38","1","2022"
"MARKAZI-MOGHADDAM N","1","1","0.200","5","1","2020"
"MARKICH R","1","1","0.250","11","1","2021"
"MARNER L","1","1","0.167","68","1","2019"
"MAROTTE H","1","1","0.333","1","1","2022"
"MARQUIS A","1","1","0.333","1","1","2022"
"MARRA G","1","1","0.333","1","1","2022"
"MARRAZZO N","1","1","0.250","13","1","2021"
"MARREIROS A","1","1","0.333","1","1","2022"
"MARRERO A","1","1","0.125","29","1","2017"
"MARRIOTT T","1","1","0.500","2","1","2023"
"MARROQUIN OC","1","1","0.500","4","1","2023"
"MARTI-BONMATI L","1","1","0.250","5","1","2021"
"MARTIAL C","1","1","0.250","30","1","2021"
"MARTIN AK","1","1","0.333","1","2","2022"
"MARTIN DR","1","1","0.333","7","1","2022"
"MARTIN G","1","1","0.333","29","1","2022"
"MARTIN GL","1","1","0.333","2","1","2022"
"MARTINA M","1","1","0.250","2","1","2021"
"MARTINEZ CA","1","1","0.200","9","1","2020"
"MARTINEZ DE","1","1","0.167","6","1","2019"
"MARTINHO M","1","1","0.500","3","1","2023"
"MARTINI C","1","2","0.200","62","2","2020"
"MARTINI M","1","1","0.500","1","1","2023"
"MARTINOVIC T","1","1","0.333","16","1","2022"
"MARTINS H","1","1","0.500","3","1","2023"
"MARTINS P","1","1","0.200","1","1","2020"
"MARTINS SS","1","1","0.250","5","1","2021"
"MARTINSEN P","1","1","0.083","4","1","2013"
"MARTINSON BC","1","1","0.200","12","1","2020"
"MARTÍN I","1","1","0.125","29","1","2017"
"MARTÍN-FONTELLES MI","1","1","0.125","3","1","2017"
"MARTÍNEZ A","1","2","0.200","11","2","2020"
"MARUOKA D","1","1","0.111","11","1","2016"
"MARZIALI ME","1","1","0.250","5","1","2021"
"MASCARELLA MA","1","1","0.333","7","1","2022"
"MASCHKE C","1","1","0.250","13","1","2021"
"MASCIA L","1","1","0.111","52","1","2016"
"MASCIOCCHI C","1","1","0.333","5","1","2022"
"MASINO AJ","1","1","0.200","7","1","2020"
"MASSEY S","1","1","0.100","20","1","2015"
"MASSIMINI M","1","1","0.333","29","1","2022"
"MASTROIANNI C","1","1","0.143","4","1","2018"
"MASYK M","1","1","0.200","24","1","2020"
"MAT ADENAN NA","1","1","0.167","6","1","2019"
"MATEU C","1","1","0.200","1","1","2020"
"MATHER RV","1","1","0.500","2","1","2023"
"MATHIEU-D'ARGENT E","1","1","0.500","2","1","2023"
"MATHUR A","1","1","0.250","5","1","2021"
"MATHUR V","1","1","0.500","4","1","2023"
"MATLOCK MK","1","1","0.250","21","1","2021"
"MATOŠEVIĆ J","1","1","0.500","9","1","2023"
"MATSANGIDOU M","1","1","0.250","23","1","2021"
"MATSUANE C","1","1","0.500","1","1","2023"
"MATSUDA S","1","1","0.500","7","1","2023"
"MATSUMURA T","1","1","0.111","11","1","2016"
"MATTHEWS L","1","1","0.333","2","1","2022"
"MATYAL R","1","1","0.200","99","1","2020"
"MAURER W","1","1","0.091","49","1","2014"
"MAURO CM","1","1","0.250","5","1","2021"
"MAURO L","1","1","0.143","4","1","2018"
"MAUS TM","1","1","0.200","4","3","2020"
"MAVIOSO C","1","1","0.500","3","1","2023"
"MAVRODIN A","1","1","0.333","4","1","2022"
"MAWLA I","1","1","0.250","12","1","2021"
"MAY B","1","1","0.333","5","1","2022"
"MAYER CS","1","1","0.200","24","1","2020"
"MAYES E","1","1","0.500","1","1","2023"
"MAZER CD","1","2","0.167","4","2","2019"
"MAZIÈRE L","1","1","0.250","7","1","2021"
"MAZZOLA A","1","1","0.333","2","1","2022"
"MBUYUKGEBIZ B","1","1","0.250","21","1","2021"
"MCAULEY S","1","1","0.333","5","1","2022"
"MCCABE R","1","1","0.333","38","1","2022"
"MCCANN-PINEO M","1","1","0.250","4","1","2021"
"MCCOY AB","1","1","0.500","5","1","2023"
"MCCRACKEN BM","1","1","0.333","2","1","2022"
"MCCRACKEN CE","1","1","0.125","36","1","2017"
"MCDONALD WM","1","1","0.250","7","1","2021"
"MCELRATH A","1","1","0.500","3","1","2023"
"MCGRATH H","1","1","0.333","1","1","2022"
"MCGRATH L","1","1","0.333","3","2","2022"
"MCINTOSH A","1","1","0.333","20","1","2022"
"MCKEEHAN J","1","1","0.143","44","1","2018"
"MCKELVEY GM","1","1","0.167","3","1","2019"
"MCKENDRICK M","1","1","0.250","26","1","2021"
"MCKIBBEN J","1","1","0.500","4","1","2023"
"MCKINNON S","1","2","0.200","8","2","2020"
"MCKINNON SL","1","1","0.143","28","1","2018"
"MCKINSTRY-WU AR","1","1","0.333","2","1","2022"
"MCLEAN A","1","1","0.083","53","1","2013"
"MCLEAN KT","1","1","0.333","2","1","2022"
"MCLEOD HL","1","1","0.143","5","1","2018"
"MCLEOD R","1","1","0.250","5","1","2021"
"MCLERNON DJ","1","1","0.250","9","1","2021"
"MCNEIL JS","1","1","0.333","8","1","2022"
"MEDRESS Z","1","1","0.200","18","1","2020"
"MEERSCH-DINI M","1","1","0.500","1","1","2023"
"MEGHPARA MB","1","1","0.333","2","1","2022"
"MEHDIPOUR S","1","1","0.500","1","1","2023"
"MEHELI S","1","1","0.333","8","1","2022"
"MEHL-MADRONA L","1","1","0.111","31","1","2016"
"MEHRNOUSH V","1","1","0.500","9","1","2023"
"MEHTA PP","1","1","0.091","49","1","2014"
"MEHTA S","1","1","0.333","15","1","2022"
"MEI L","1","2","0.333","4","2","2022"
"MEI R","1","1","0.500","1","1","2023"
"MEI Z","1","1","0.333","4","1","2022"
"MEIER R","1","1","0.125","8","1","2017"
"MEIJER F","1","2","0.200","62","2","2020"
"MEINEKE MN","1","1","0.333","8","1","2022"
"MEIRELES O","1","1","0.200","209","1","2020"
"MEISTER T","1","1","0.250","10","1","2021"
"MEKARU K","1","1","0.250","2","1","2021"
"MEKONNEN J","1","1","0.200","3","1","2020"
"MELEKOGLU R","1","1","0.333","11","1","2022"
"MELETTI S","1","1","0.333","1","1","2022"
"MELIANA IR","1","1","0.333","1","1","2022"
"MELILLO P","1","1","0.250","3","1","2021"
"MELLADO M","1","1","0.200","7","1","2020"
"MELLOR VA","1","1","0.333","4","1","2022"
"MELNIC CM","1","1","0.333","5","1","2022"
"MELTZER AC","1","1","0.250","2","1","2021"
"MEMARY E","1","1","0.333","2","1","2022"
"MENDEZ J","1","1","0.333","38","1","2022"
"MENDIRATTA A","1","1","0.250","7","1","2021"
"MENDONÇA T","1","1","0.083","11","1","2013"
"MENDOZA-GARCÉS FJ","1","1","0.500","1","1","2023"
"MENENDEZ ME","1","1","0.167","26","1","2019"
"MENG QC","1","1","0.333","2","1","2022"
"MENK M","1","1","0.333","3","1","2022"
"MENON C","1","1","0.333","1","1","2022"
"MERRILL RK","1","1","0.143","113","1","2018"
"MERRY AF","1","1","0.083","4","1","2013"
